Documento,Pos.,Denominación,Fecha doc.,Ctd.conf.,Nº ped.cliente,Fe.entrega,Solic.,Ctd.ped., Prc.neto,   por,UM, Valor neto, Valor neto,Se,Ctd.ped.
7293901,30,Buchanan Deluxe 750ml   12x01,04.05.2010,0,3116/PR0000100,03.05.2010,6023296,720,253.7,1,BTL,"297,723.84","182,664.00",32,720
7293899,10,Vat 69          75cl      12x01,04.05.2010,0,1079/PR0000100,03.05.2010,6023166,36,0,"1,200",BTL,0,0,32,36
7293895,10,CptMrg OSR  750ml  12x01 relay / Lgut,04.05.2010,100,64620743/12307,11.05.2010,162532,100,46.28,1,BTL,"55,537.92","55,537.92",32,100
7293894,10,J Wlkr Red 750ml  Sensor 12x01,04.05.2010,12,6500240709/287053964,10.05.2010,6024151,12,92.23,1,BTL,328.32,"1,106.78",32,12
7293894,20,Guinness Lata DR 440ml 24x01,04.05.2010,0,6500240709/287053964,10.05.2010,6024151,24,13.68,1,BTL,328.32,328.32,31,24
7293892,10,Buchanan Deluxe 750ml   12x01,04.05.2010,0,64636760/8623,12.05.2010,6023390,480,182.66,1,BTL,"87,678.72","87,678.72",32,480
7293890,10,Buchanan Deluxe 750ml   12x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,288,182.66,1,BTL,"127,118.63","52,607.23",32,288
7293890,20,Buchanan Sr 18y 750ml   06x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,6,376.47,1,BTL,"127,118.63","2,258.80",32,6
7293890,30,CptMrg OSR  750ml  12x01 relay / Lgut,04.05.2010,0,15676446/231225,08.05.2010,6023921,24,46.28,1,BTL,"127,118.63","1,110.76",32,24
7293890,40,Guinness Lata DR 440ml 24x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,72,13.68,1,BTL,"127,118.63",984.96,31,72
7293890,50,Tanqueray Ten Gin 750ml   12x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,12,147.46,1,BTL,"127,118.63","1,769.47",32,12
7293890,60,JWlkr Red 750ml MIDAS C/IBC 12x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,36,92.23,1,BTL,"127,118.63","3,320.35",32,36
7293890,70,JW Black Label 750ml 12x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,180,173.04,1,BTL,"127,118.63","31,146.77",32,180
7293890,80,Old Parr 750ml 12x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,24,153.07,1,BTL,"127,118.63","3,673.73",32,24
7293890,90,Vat 69 750ml   12x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,216,43.95,1,BTL,"127,118.63","9,492.94",32,216
7293890,100,J&B Rare 750ml 12x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,72,75.33,1,BTL,"127,118.63","5,423.50",32,72
7293890,110,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,156,77.43,1,BTL,"127,118.63","12,078.53",32,156
7293890,120,Baileys Flavours Mint Choco 750ml 12x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,36,77.43,1,BTL,"127,118.63","2,787.35",32,36
7293890,130,Baileys Flavours Caramel 750ml 12x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,12,77.43,1,BTL,"127,118.63",929.11,32,12
7293890,140,ZACAPA CENTENARIO 23 750ML 06x01,04.05.2010,0,15676446/231225,08.05.2010,6023921,6,217.43,1,BTL,"127,118.63","1,304.60",32,6
7293881,10,Buchanan Deluxe 750ml   12x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,372,182.66,1,BTL,"139,328.04","67,951.01",32,372
7293881,20,Buchanan Sr 18y 750ml   06x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,36,376.47,1,BTL,"139,328.04","13,552.79",32,36
7293881,30,JWlkr Red 750ml MIDAS C/IBC 12x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,24,92.23,1,BTL,"139,328.04","2,213.57",32,24
7293881,40,Guinness Lata DR 440ml 24x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,48,13.68,1,BTL,"139,328.04",656.64,31,48
7293881,50,JWlkr Red 750ml MIDAS C/IBC 12x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,108,92.23,1,BTL,"139,328.04","9,961.06",32,108
7293881,60,JW Black Label 750ml 12x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,24,173.04,1,BTL,"139,328.04","4,152.90",32,24
7293881,70,J Wlkr Green 700ml   06x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,18,245.71,1,BTL,"139,328.04","4,422.86",32,18
7293881,80,Old Parr 750ml 12x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,12,153.07,1,BTL,"139,328.04","1,836.86",32,12
7293881,90,Vat 69 750ml   12x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,96,43.95,1,BTL,"139,328.04","4,219.08",32,96
7293881,100,J&B Rare 750ml 12x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,108,75.33,1,BTL,"139,328.04","8,135.25",32,108
7293881,110,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,0,15676445/231225,08.05.2010,6024222,204,77.43,1,BTL,"139,328.04","15,795.00",32,204
